satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
9.0,2025-05-23T16:52:35.311763,2025-04-22T12:44:40,1745325880.0,2.761605,43.6,24.81,vehicle_01,41.84528,35.97,1.0,2025-04-22 12:44:40,157.63094080016847,7.0,81.06734098294379
9.0,2025-05-23T16:52:35.316992,2025-04-22T12:44:47,1745325887.0,2.762782,45.64,38.58,vehicle_01,41.84658,37.04,1.0,2025-04-22 12:44:47,174.35887039743653,7.0,89.67027620439593
8.0,2025-05-23T16:52:35.322733,2025-04-22T12:44:54,1745325894.0,2.764231,46.93,49.94,vehicle_01,41.84763,37.58,1.0,2025-04-22 12:44:54,167.44365037970547,7.0,86.11387733813424
9.0,2025-05-23T16:52:35.328056,2025-04-22T12:45:01,1745325901.0,2.765921,48.6,60.24,vehicle_01,41.84849,38.07,1.0,2025-04-22 12:45:01,169.52950071134964,7.0,87.18660036583695
9.0,2025-05-23T16:52:35.333633,2025-04-22T12:45:08,1745325908.0,2.767835,46.7,70.17,vehicle_01,41.84903,38.84,1.0,2025-04-22 12:45:08,169.5267554266139,7.0,87.18518850511572
8.0,2025-05-23T16:52:35.338998,2025-04-22T12:45:15,1745325915.0,2.769652,45.3,58.42,vehicle_01,41.84959,39.51,1.0,2025-04-22 12:45:15,162.8740884393111,7.0,83.7638169116457
9.0,2025-05-23T16:52:35.344197,2025-04-22T12:45:22,1745325922.0,2.771216,45.86,45.84,vehicle_01,41.85052,40.35,1.0,2025-04-22 12:45:22,165.7571398223673,7.0,85.24652905150319
9.0,2025-05-23T16:52:35.349511,2025-04-22T12:45:29,1745325929.0,2.772456,46.86,32.1,vehicle_01,41.85175,40.92,1.0,2025-04-22 12:45:29,171.03910446725732,7.0,87.96296801173234
9.0,2025-05-23T16:52:35.354606,2025-04-22T12:45:37,1745325937.0,2.773413,47.1,19.3,vehicle_01,41.85332,41.63,1.0,2025-04-22 12:45:37,191.72772943186015,8.0,86.27747824433708
9.0,2025-05-23T16:52:35.359812,2025-04-22T12:45:43,1745325943.0,2.773836,47.06,12.36,vehicle_01,41.85455,42.47,1.0,2025-04-22 12:45:43,141.18557858199085,6.0,84.71134714919451
9.0,2025-05-23T16:52:35.364861,2025-04-22T12:45:50,1745325950.0,2.774241,47.74,11.9,vehicle_01,41.85604,43.24,1.0,2025-04-22 12:45:50,169.04178160410942,7.0,86.93577339639913
8.0,2025-05-23T16:52:35.370119,2025-04-22T12:45:58,1745325958.0,2.774704,47.32,11.87,vehicle_01,41.85775,44.21,1.0,2025-04-22 12:45:58,193.97127667666135,8.0,87.28707450449761
9.0,2025-05-23T16:52:35.375512,2025-04-22T12:46:05,1745325965.0,2.775105,46.7,11.9,vehicle_01,41.85918,44.89,1.0,2025-04-22 12:46:05,162.4397501348183,7.0,83.540442926478
9.0,2025-05-23T16:52:35.380690,2025-04-22T12:46:11,1745325971.0,2.775405,46.32,11.67,vehicle_01,41.8604,45.44,1.0,2025-04-22 12:46:11,137.91411131058055,6.0,82.74846678634833
9.0,2025-05-23T16:52:35.385849,2025-04-22T12:46:19,1745325979.0,2.775838,45.88,11.27,vehicle_01,41.86205,46.35,1.0,2025-04-22 12:46:19,186.94294571812716,8.0,84.12432557315722
9.0,2025-05-23T16:52:35.391065,2025-04-22T12:46:26,1745325986.0,2.776199,45.53,11.16,vehicle_01,41.86349,47.19,1.0,2025-04-22 12:46:26,162.88754891529612,7.0,83.77073944215229
